Block Type,96alum,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\7500\experiments\LK\LK20220402.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2022-04-02 17:54:54 PM CST,,,,,,,,,,,,,,,,,,,,
Instrument Type,sds7500,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,C§ä,C§ä Mean,C§ä SD,¦¤C§ä,¦¤C§ä Mean,¦¤C§ä SE,HK Control ¦¤C§ä Mean,HK Control ¦¤C§ä SE,¦¤¦¤C§ä,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments
E4,Sample 3,GA,17.25756264,17.24225044,0.120631717,,,,,,,TRUE,0.271252941,TRUE,3,12,1,87.84292603,,,
E5,Sample 4,GA,15.52989388,15.2349577,0.298347771,,,,,,,TRUE,0.271252941,TRUE,3,10,1,87.84292603,,,
E6,Sample 4,GA,15.24166584,15.2349577,0.298347771,,,,,,,TRUE,0.271252941,TRUE,3,10,1,87.84292603,,,
E7,Sample 4,GA,14.93331146,15.2349577,0.298347771,,,,,,,TRUE,0.271252941,TRUE,3,9,1,87.84292603,,,
F2,Sample 3,CASP-1,22.4011879,22.49750328,0.083858348,,5.2552495,0.084821843,,,-1.317286134,TRUE,0.264740165,TRUE,3,17,1,79.22303772,,,
F3,Sample 3,CASP-1,22.53699112,22.49750328,0.083858348,,5.2552495,0.084821843,,,-1.317286134,TRUE,0.264740165,TRUE,3,17,1,79.22303772,,,
F4,Sample 3,CASP-1,22.5543232,22.49750328,0.083858348,,5.2552495,0.084821843,,,-1.317286134,TRUE,0.264740165,TRUE,3,17,1,79.3989563,,,
F5,Sample 4,CASP-1,21.90925598,21.89463234,0.046481129,,6.659675121,0.174329087,,,0.08713945,TRUE,0.264740165,TRUE,3,16,1,79.3989563,,,
F6,Sample 4,CASP-1,21.84259796,21.89463234,0.046481129,,6.659675121,0.174329087,,,0.08713945,TRUE,0.264740165,TRUE,3,16,1,79.3989563,,,
F7,Sample 4,CASP-1,21.93204308,21.89463234,0.046481129,,6.659675121,0.174329087,,,0.08713945,TRUE,0.264740165,TRUE,3,16,1,79.3989563,,,
G2,Sample 3,IL-1B,22.75622749,22.80991364,0.088683732,,5.567661762,0.086442307,,,0.693873107,TRUE,0.311242473,TRUE,3,17,1,81.50994873,,,
G3,Sample 3,IL-1B,22.91227531,22.80991364,0.088683732,,5.567661762,0.086442307,,,0.693873107,TRUE,0.311242473,TRUE,3,17,1,81.68586731,,,
G4,Sample 3,IL-1B,22.76123619,22.80991364,0.088683732,,5.567661762,0.086442307,,,0.693873107,TRUE,0.311242473,TRUE,3,17,1,81.68586731,,,
G5,Sample 4,IL-1B,20.83733749,20.85468674,0.020434018,,5.619729519,0.172654718,,,0.745940864,TRUE,0.311242473,TRUE,3,15,1,81.68586731,,,
G6,Sample 4,IL-1B,20.8495121,20.85468674,0.020434018,,5.619729519,0.172654718,,,0.745940864,TRUE,0.311242473,TRUE,3,15,1,81.68586731,,,
G7,Sample 4,IL-1B,20.87721062,20.85468674,0.020434018,,5.619729519,0.172654718,,,0.745940864,TRUE,0.311242473,TRUE,3,15,1,81.68586731,,,
H2,Sample 3,IL-18,24.61281395,24.5797863,0.031980548,,7.337535381,0.07205268,,,-0.494178772,TRUE,0.21680903,TRUE,3,19,1,76.93612671,,,
H3,Sample 3,IL-18,24.54896736,24.5797863,0.031980548,,7.337535381,0.07205268,,,-0.494178772,TRUE,0.21680903,TRUE,3,19,1,77.11204529,,,
H4,Sample 3,IL-18,24.57757759,24.5797863,0.031980548,,7.337535381,0.07205268,,,-0.494178772,TRUE,0.21680903,TRUE,3,19,1,77.11204529,,,
H5,Sample 4,IL-18,23.45935822,23.43811035,0.043097477,,8.20315361,0.174039066,,,0.371439934,TRUE,0.21680903,TRUE,3,18,1,77.11204529,,,
H6,Sample 4,IL-18,23.46645927,23.43811035,0.043097477,,8.20315361,0.174039066,,,0.371439934,TRUE,0.21680903,TRUE,3,18,1,77.11204529,,,
H7,Sample 4,IL-18,23.38851547,23.43811035,0.043097477,,8.20315361,0.174039066,,,0.371439934,TRUE,0.21680903,TRUE,3,18,1,77.11204529,,,
,,,,,,,,,,,,,,,,,,,,,
Analysis Type,Singleplex,,,,,,,,,,,,,,,,,,,,
Endogenous Control,GA,,,,,,,,,,,,,,,,,,,,
RQ Min/Max Confidence Level,95.0,,,,,,,,,,,,,,,,,,,,
Reference Sample,Sample 1,,,,,,,,,,,,,,,,,,,,
